着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,7,モーニン,Henny Hughes,Giggly,牡,4,-4,M.デムーロ,2,石坂正,ダート,左,1600m,晴,重
2,4,ノンコノユメ,トワイニング,ノンコ,牡,4,2,C.ルメール,1,加藤征弘,ダート,左,1600m,晴,重
3,2,アスカノロマン,アグネスデジタル,アスカノヒミコ,牡,5,-2,太宰啓介,7,川村禎彦,ダート,左,1600m,晴,重
4,3,ベストウォーリア,Majestic Warrior,Flirtatious Miss,牡,6,0,戸崎圭太,3,石坂正,ダート,左,1600m,晴,重
5,3,ロワジャルダン,キングカメハメハ,アグネスショコラ,牡,5,-2,横山典弘,6,戸田博文,ダート,左,1600m,晴,重
6,7,タガノトネール,ケイムホーム,タガノレヴェントン,せん,6,0,柴田大知,9,鮫島一歩,ダート,左,1600m,晴,重
7,2,コパノリッキー,ゴールドアリュール,コパノニキータ,牡,6,0,武豊,4,村山明,ダート,左,1600m,晴,重
8,5,モンドクラッセ,アグネスデジタル,クッキーキティ,牡,5,-2,田辺裕信,10,清水英克,ダート,左,1600m,晴,重
9,8,ローマンレジェンド,スペシャルウィーク,パーソナルレジェンド,牡,8,-14,内田博幸,13,藤原英昭,ダート,左,1600m,晴,重
10,1,ホワイトフーガ,クロフネ,マリーンウィナー,牝,4,-1,大野拓弥,5,高木登,ダート,左,1600m,晴,重
11,5,グレープブランデー,マンハッタンカフェ,ワインアンドローズ,牡,8,-4,F.ヴェロン,11,安田隆行,ダート,左,1600m,晴,重
12,6,スーサンジョイ,エンパイアメーカー,グランジョイ,牡,4,-2,和田竜二,8,岩元市三,ダート,左,1600m,晴,重
13,8,サノイチ,サウスヴィグラス,エトレーヌ,牡,5,6,勝浦正樹,15,尾形和幸,ダート,左,1600m,晴,重
14,6,マルカフリート,アフリート,スプリングアマイン,牡,10,-2,石橋脩,16,浜田多実雄,ダート,左,1600m,晴,重
15,4,コーリンベリー,サウスヴィグラス,コーリンラヴィアン,牝,5,2,松山弘平,12,小野次郎,ダート,左,1600m,晴,重
16,1,パッションダンス,ディープインパクト,キッスパシオン,牡,8,0,三浦皇成,14,友道康夫,ダート,左,1600m,晴,重
1,2,ビッグアーサー,サクラバクシンオー,シヤボナ,牡,5,-4,福永祐一,1,藤岡健一,芝,左,1200m,曇,良
2,3,ミッキーアイル,ディープインパクト,スターアイル,牡,5,2,松山弘平,2,音無秀孝,芝,左,1200m,曇,良
3,4,アルビアーノ,Harlan s Holiday,Antics,牝,4,6,C.ルメール,3,木村哲也,芝,左,1200m,曇,良
4,5,アクティブミノル,スタチューオブリバティ,ピエナアマゾン,牡,4,-2,藤岡康太,16,北出成人,芝,左,1200m,曇,良
5,7,エイシンブルズアイ,Belgravia,Miss Fear Factor,牡,5,-2,石橋脩,5,野中賢二,芝,左,1200m,曇,良
6,5,ティーハーフ,ストーミングホーム,ビールジャント,牡,6,-6,池添謙一,14,西浦勝一,芝,左,1200m,曇,良
7,3,スノードラゴン,アドマイヤコジーン,マイネカプリース,牡,8,-6,大野拓弥,6,高木登,芝,左,1200m,曇,良
8,6,レッツゴードンキ,キングカメハメハ,マルトク,牝,4,-8,岩田康誠,10,梅田智之,芝,左,1200m,曇,良
9,6,ウリウリ,ディープインパクト,ウィキウィキ,牝,6,-6,戸崎圭太,4,藤原英昭,芝,左,1200m,曇,良
10,7,アースソニック,クロフネ,ダイヤモンドピアス,牡,7,-4,D.バルジュー,17,中竹和也,芝,左,1200m,曇,良
11,8,ハクサンムーン,アドマイヤムーン,チリエージェ,牡,7,0,酒井学,7,西園正都,芝,左,1200m,曇,良
12,8,ヒルノデイバロー,マンハッタンカフェ,デック,牡,5,-6,太宰啓介,15,昆貢,芝,左,1200m,曇,良
13,1,ウキヨノカゼ,オンファイア,アドマイヤダッシュ,牝,6,0,四位洋文,12,菊沢隆徳,芝,左,1200m,曇,良
14,1,ブラヴィッシモ,Fastnet Rock,メイキアシー,牡,4,-2,横山典弘,11,須貝尚介,芝,左,1200m,曇,良
15,8,スギノエンデバー,サクラバクシンオー,シャイニングピアス,牡,8,-2,鮫島克駿,18,浅見秀一,芝,左,1200m,曇,良
16,7,ローレルベローチェ,サクラバクシンオー,ヘイローフジ,牡,5,0,中井裕二,9,飯田雄三,芝,左,1200m,曇,良
17,2,サクラゴスペル,サクラプレジデント,サクラブルース,牡,8,1,勝浦正樹,13,尾関知人,芝,左,1200m,曇,良
18,4,サトノルパン,ディープインパクト,エリモピクシー,牡,5,0,和田竜二,8,村山明,芝,左,1200m,曇,良
1,7,ジュエラー,ヴィクトワールピサ,バルドウィナ,牝,3,-4,M.デムーロ,3,藤岡健一,芝,右,1600m,晴,良
2,6,シンハライト,ディープインパクト,シンハリーズ,牝,3,-4,池添謙一,2,石坂正,芝,右,1600m,晴,良
3,5,アットザシーサイド,キングカメハメハ,ルミナスハーバー,牝,3,-10,福永祐一,6,浅見秀一,芝,右,1600m,晴,良
4,3,メジャーエンブレム,ダイワメジャー,キャッチータイトル,牝,3,4,C.ルメール,1,田村康仁,芝,右,1600m,晴,良
5,8,アドマイヤリード,ステイゴールド,ベルアリュール2,牝,3,0,藤岡康太,13,須貝尚介,芝,右,1600m,晴,良
6,7,ラベンダーヴァレイ,ディープインパクト,クロウキャニオン,牝,3,-2,戸崎圭太,5,藤原英昭,芝,右,1600m,晴,良
7,6,レッドアヴァンセ,ディープインパクト,エリモピクシー,牝,3,2,武豊,4,音無秀孝,芝,右,1600m,晴,良
8,1,ブランボヌール,ディープインパクト,ルシュクル,牝,3,-8,三浦皇成,10,中竹和也,芝,右,1600m,晴,良
9,3,ビービーバーレル,パイロ,ファインディンプル,牝,3,2,石橋脩,12,中舘英二,芝,右,1600m,晴,良
10,4,デンコウアンジュ,メイショウサムソン,デンコウラッキー,牝,3,-8,川田将雅,7,荒川義之,芝,右,1600m,晴,良
11,2,メイショウスイヅキ,パイロ,ヴィトンクイーン,牝,3,4,松山弘平,14,本田優,芝,右,1600m,晴,良
12,8,ウインファビラス,ステイゴールド,サマーエタニティ,牝,3,-2,松岡正海,9,畠山吉宏,芝,右,1600m,晴,良
13,1,キャンディバローズ,ディープインパクト,アフレタータ,牝,3,2,菱田裕二,11,矢作芳人,芝,右,1600m,晴,良
14,7,カトルラポール,グラスワンダー,スポーティングラダー,牝,3,-4,秋山真一郎,17,浅野洋一郎,芝,右,1600m,晴,良
15,5,ジープルメリア,Street Sense,Song of Africa,牝,3,-8,松田大作,16,南井克巳,芝,右,1600m,晴,良
16,8,メイショウバーズ,タニノギムレット,デヒアバーズ,牝,3,4,古川吉洋,18,本田優,芝,右,1600m,晴,良
17,2,ソルヴェイグ,ダイワメジャー,アスドゥクール,牝,3,0,蛯名正義,8,鮫島一歩,芝,右,1600m,晴,良
18,4,アッラサルーテ,ダイワメジャー,ラタフィア,牝,3,-10,和田竜二,15,手塚貴久,芝,右,1600m,晴,良
1,7,オジュウチョウサン,ステイゴールド,シャドウシルエット,牡,5,-2,石神深一,2,和田正一郎,障害,芝,4250m,曇,良
2,2,サナシオン,シンボリクリスエス,ジェダイト,牡,7,2,西谷誠,1,松永幹夫,障害,芝,4250m,曇,良
3,3,メイショウアラワシ,ストーミングホーム,メイショウアゲハ,牡,5,8,森一馬,7,安達昭夫,障害,芝,4250m,曇,良
4,8,ビコーピリラニ,キングカメハメハ,ビコーソフィア,牡,6,-6,田村太雅,10,田所秀孝,障害,芝,4250m,曇,良
5,5,ワンダフルワールド,タイキシャトル,キャットアリ,牡,5,-2,平沢健治,3,高橋義忠,障害,芝,4250m,曇,良
6,8,ダンツメガヒット,タイキシャトル,アイズビューティー,せん,4,-12,小坂忠士,9,山内研二,障害,芝,4250m,曇,良
7,4,マイネルフィエスタ,シンボリクリスエス,フェリアード,牡,6,2,植野貴也,8,中村均,障害,芝,4250m,曇,良
8,7,ティリアンパープル,ジャングルポケット,メイクヒストリー,牝,6,6,山本康志,6,金成貴史,障害,芝,4250m,曇,良
9,6,ブライトボーイ,タニノギムレット,カレンバレリーナ,牡,7,-2,草野太郎,4,尾形充弘,障害,芝,4250m,曇,良
1,8,ディーマジェスティ,ディープインパクト,エルメスティアラ,牡,3,0,蛯名正義,8,二ノ宮敬宇,芝,右,2000m,晴,良
2,2,マカヒキ,ディープインパクト,ウィキウィキ,牡,3,2,川田将雅,3,友道康夫,芝,右,2000m,晴,良
3,6,サトノダイヤモンド,ディープインパクト,マルペンサ,牡,3,6,C.ルメール,1,池江泰寿,芝,右,2000m,晴,良
4,7,エアスピネル,キングカメハメハ,エアメサイア,牡,3,-4,武豊,4,笹田和秀,芝,右,2000m,晴,良
5,8,リオンディーズ,キングカメハメハ,シーザリオ,牡,3,0,M.デムーロ,2,角居勝彦,芝,右,2000m,晴,良
6,3,マウントロブソン,ディープインパクト,ミスパスカリ,牡,3,2,T.ベリー,6,堀宣行,芝,右,2000m,晴,良
7,5,ナムラシングン,ヴィクトワールピサ,ドリームオブジェニー,牡,3,-2,田辺裕信,9,高野友和,芝,右,2000m,晴,良
8,7,ロードクエスト,マツリダゴッホ,マツリダワルツ,牡,3,-2,池添謙一,5,小島茂之,芝,右,2000m,晴,良
9,2,アドマイヤダイオウ,ディープインパクト,アドマイヤマリン,牡,3,-2,福永祐一,7,友道康夫,芝,右,2000m,晴,良
10,4,ウムブルフ,ディープインパクト,ウミラージ,牡,3,-4,柴山雄一,16,堀宣行,芝,右,2000m,晴,良
11,7,プロフェット,ハービンジャー,ジュモー,牡,3,12,戸崎圭太,10,池江泰寿,芝,右,2000m,晴,良
12,3,ミライヘノツバサ,ドリームジャーニー,タムロブライト,牡,3,-4,柴田大知,11,伊藤大士,芝,右,2000m,晴,良
13,4,ミッキーロケット,キングカメハメハ,マネーキャントバイミーラヴ,牡,3,2,横山典弘,14,音無秀孝,芝,右,2000m,晴,良
14,5,トーアライジン,デュランダル,トーアライトニング,牡,3,4,大野拓弥,18,村山明,芝,右,2000m,晴,良
15,1,ドレッドノータス,ハービンジャー,ディアデラノビア,牡,3,0,藤岡佑介,13,矢作芳人,芝,右,2000m,晴,良
16,1,ジョルジュサンク,ヴィクトワールピサ,ハリウッドローズ,牡,3,0,吉田隼人,12,鮫島一歩,芝,右,2000m,晴,良
17,6,リスペクトアース,マンハッタンカフェ,アースグリーン,牡,3,4,石川裕紀人,15,小笠倫弘,芝,右,2000m,晴,良
18,8,アドマイヤモラール,キンシャサノキセキ,カツラドライバー,牡,3,-10,内田博幸,17,上原博之,芝,右,2000m,晴,良
1,1,キタサンブラック,ブラックタイド,シュガーハート,牡,4,0,武豊,2,清水久詞,芝,右,3200m,晴,良
2,2,カレンミロティック,ハーツクライ,スターミー,せん,8,-2,池添謙一,13,平田修,芝,右,3200m,晴,良
3,4,シュヴァルグラン,ハーツクライ,ハルーワスウィート,牡,4,-2,福永祐一,3,友道康夫,芝,右,3200m,晴,良
4,6,タンタアレグリア,ゼンノロブロイ,タンタスエルテ,牡,4,-2,蛯名正義,10,国枝栄,芝,右,3200m,晴,良
5,5,トーホウジャッカル,スペシャルウィーク,トーホウガイア,牡,5,-12,酒井学,7,谷潔,芝,右,3200m,晴,良
6,5,アルバート,アドマイヤドン,フォルクローレ,牡,5,-2,C.ルメール,6,堀宣行,芝,右,3200m,晴,良
7,4,ファタモルガーナ,ディープインパクト,タニノミラージュ,せん,8,6,内田博幸,16,荒川義之,芝,右,3200m,晴,良
8,3,フェイムゲーム,ハーツクライ,ホールオブフェーム,牡,6,-10,H.ボウマン,4,宗像義忠,芝,右,3200m,晴,良
9,3,アドマイヤデウス,アドマイヤドン,ロイヤルカード,牡,5,0,岩田康誠,11,橋田満,芝,右,3200m,晴,良
10,8,レーヴミストラル,キングカメハメハ,レーヴドスカー,牡,4,-8,川田将雅,8,高野友和,芝,右,3200m,晴,良
11,7,サトノノブレス,ディープインパクト,クライウィズジョイ,牡,6,-2,和田竜二,12,池江泰寿,芝,右,3200m,晴,良
12,8,ゴールドアクター,スクリーンヒーロー,ヘイロンシン,牡,5,-4,吉田隼人,1,中川公成,芝,右,3200m,晴,良
13,1,トゥインクル,ステイゴールド,ロングスターダム,牡,5,-2,勝浦正樹,9,牧田和弥,芝,右,3200m,晴,良
14,8,ファントムライト,オペラハウス,マリーシャンタル,牡,7,0,三浦皇成,15,藤原英昭,芝,右,3200m,晴,良
15,7,サウンズオブアース,ネオユニヴァース,ファーストバイオリン,牡,5,-4,藤岡佑介,5,藤岡健一,芝,右,3200m,晴,良
16,7,マイネルメダリスト,ステイゴールド,ツクバノーブル,牡,8,-2,柴田大知,18,田中清隆,芝,右,3200m,晴,良
17,6,ヤマニンボワラクテ,キングカメハメハ,ヤマニンカルフール,せん,5,4,丸山元気,17,松永幹夫,芝,右,3200m,晴,良
18,2,トーセンレーヴ,ディープインパクト,ビワハイジ,牡,8,10,武幸四郎,14,池江泰寿,芝,右,3200m,晴,良
1,2,メジャーエンブレム,ダイワメジャー,キャッチータイトル,牝,3,-6,C.ルメール,1,田村康仁,芝,左,1600m,晴,良
2,3,ロードクエスト,マツリダゴッホ,マツリダワルツ,牡,3,-6,池添謙一,2,小島茂之,芝,左,1600m,晴,良
3,8,レインボーライン,ステイゴールド,レーゲンボーゲン,牡,3,-2,福永祐一,12,浅見秀一,芝,左,1600m,晴,良
4,5,ダンツプリウス,ブライアンズタイム,ストロングレダ,牡,3,-4,丸山元気,7,山内研二,芝,左,1600m,晴,良
5,4,トウショウドラフタ,アンライバルド,ウイッチトウショウ,牡,3,-4,田辺裕信,5,萱野浩二,芝,左,1600m,晴,良
6,6,ハクサンルドルフ,アドマイヤムーン,キングスミール,牡,3,0,内田博幸,11,西園正都,芝,左,1600m,晴,良
6,8,ブランボヌール,ディープインパクト,ルシュクル,牝,3,-4,三浦皇成,15,中竹和也,芝,左,1600m,晴,良
8,7,ブレイブスマッシュ,トーセンファントム,トーセンスマッシュ,牡,3,2,横山典弘,9,小笠倫弘,芝,左,1600m,晴,良
9,7,ストーミーシー,アドマイヤムーン,リーベストラウム,牡,3,4,江田照男,10,斎藤誠,芝,左,1600m,晴,良
10,5,シャドウアプローチ,ジャングルポケット,マルカアイチャン,牡,3,-6,T.ベリー,13,須貝尚介,芝,左,1600m,晴,良
11,4,イモータル,マンハッタンカフェ,ショアー,牡,3,-4,戸崎圭太,3,須貝尚介,芝,左,1600m,晴,良
12,1,シュウジ,キンシャサノキセキ,カストリア,牡,3,0,岩田康誠,8,須貝尚介,芝,左,1600m,晴,良
13,1,エクラミレネール,マツリダゴッホ,シャトーサウザンド,牝,3,-4,大野拓弥,16,高橋裕,芝,左,1600m,晴,良
14,8,カネノイロ,パイロ,エルサフィール,牡,3,-2,蛯名正義,17,佐藤吉勝,芝,左,1600m,晴,良
15,6,ペルソナリテ,ステイゴールド,マイネアルデュール,牝,3,4,柴田大知,18,相沢郁,芝,左,1600m,晴,良
16,2,アーバンキッド,ハーツクライ,コックニー,牡,3,0,H.ボウマン,6,斎藤誠,芝,左,1600m,晴,良
17,3,ティソーナ,ダイワメジャー,ラドラーダ,牡,3,0,M.デムーロ,4,藤沢和雄,芝,左,1600m,晴,良
18,7,シゲルノコギリザメ,スーパーホーネット,シアトルビューティ,牡,3,-4,松岡正海,14,谷潔,芝,左,1600m,晴,良
1,7,ストレイトガール,フジキセキ,ネヴァーピリオド,牝,7,2,戸崎圭太,7,藤原英昭,芝,左,1600m,晴,良
2,5,ミッキークイーン,ディープインパクト,ミュージカルウェイ,牝,4,0,浜中俊,1,池江泰寿,芝,左,1600m,晴,良
3,7,ショウナンパンドラ,ディープインパクト,キューティゴールド,牝,5,-10,池添謙一,2,高野友和,芝,左,1600m,晴,良
4,1,スマートレイアー,ディープインパクト,スノースタイル,牝,6,0,武豊,3,大久保龍志,芝,左,1600m,晴,良
5,4,ルージュバック,マンハッタンカフェ,ジンジャーパンチ,牝,4,0,C.ルメール,4,大竹正博,芝,左,1600m,晴,良
6,3,マジックタイム,ハーツクライ,タイムウィルテル,牝,5,0,H.ボウマン,6,中川公成,芝,左,1600m,晴,良
7,7,ウキヨノカゼ,オンファイア,アドマイヤダッシュ,牝,6,-6,四位洋文,15,菊沢隆徳,芝,左,1600m,晴,良
8,6,クイーンズリング,マンハッタンカフェ,アクアリング,牝,4,10,M.デムーロ,5,吉村圭司,芝,左,1600m,晴,良
9,8,シュンドルボン,ハーツクライ,ネイチャーガイド,牝,5,2,吉田豊,12,矢野英一,芝,左,1600m,晴,良
10,6,レッツゴードンキ,キングカメハメハ,マルトク,牝,4,-6,岩田康誠,8,梅田智之,芝,左,1600m,晴,良
11,1,ウインプリメーラ,ステイゴールド,エリモプリティー,牝,6,-2,川田将雅,10,大久保龍志,芝,左,1600m,晴,良
12,4,メイショウマンボ,スズカマンボ,メイショウモモカ,牝,6,-4,武幸四郎,17,飯田祐史,芝,左,1600m,晴,良
13,2,ウリウリ,ディープインパクト,ウィキウィキ,牝,6,-4,三浦皇成,13,藤原英昭,芝,左,1600m,晴,良
14,3,レッドリヴェール,ステイゴールド,ディソサード,牝,5,-6,石川裕紀人,18,須貝尚介,芝,左,1600m,晴,良
15,5,カフェブリリアント,ブライアンズタイム,シンメイミネルバ,牝,6,0,福永祐一,14,堀宣行,芝,左,1600m,晴,良
16,8,ショウナンアデラ,ディープインパクト,オールウェイズウィリング,牝,4,16,蛯名正義,11,二ノ宮敬宇,芝,左,1600m,晴,良
17,8,トーセンビクトリー,キングカメハメハ,トゥザヴィクトリー,牝,4,-2,内田博幸,16,角居勝彦,芝,左,1600m,晴,良
18,2,シャルール,ゼンノロブロイ,グレイトフィーヴァー,牝,4,0,横山典弘,9,松永幹夫,芝,左,1600m,晴,良
1,2,シンハライト,ディープインパクト,シンハリーズ,牝,3,-4,池添謙一,1,石坂正,芝,左,2400m,晴,良
2,7,チェッキーノ,キングカメハメハ,ハッピーパス,牝,3,-2,戸崎圭太,2,藤沢和雄,芝,左,2400m,晴,良
3,7,ビッシュ,ディープインパクト,バランセラ,牝,3,12,M.デムーロ,5,鹿戸雄一,芝,左,2400m,晴,良
4,8,ジェラシー,ハービンジャー,グローリアスデイズ,牝,3,6,横山典弘,10,菊沢隆徳,芝,左,2400m,晴,良
5,3,ペプチドサプル,マンハッタンカフェ,ペプチドモアー,牝,3,0,四位洋文,8,木原一良,芝,左,2400m,晴,良
6,6,フロンテアクイーン,メイショウサムソン,ブルーボックスボウ,牝,3,-2,蛯名正義,12,国枝栄,芝,左,2400m,晴,良
7,7,レッドアヴァンセ,ディープインパクト,エリモピクシー,牝,3,4,田辺裕信,11,音無秀孝,芝,左,2400m,晴,良
8,8,ダイワドレッサー,ネオユニヴァース,リバティープリント,牝,3,-4,三浦皇成,17,鹿戸雄一,芝,左,2400m,晴,良
9,4,デンコウアンジュ,メイショウサムソン,デンコウラッキー,牝,3,-10,川田将雅,6,荒川義之,芝,左,2400m,晴,良
10,6,エンジェルフェイス,キングカメハメハ,ワンフォーローズ,牝,3,-2,C.ルメール,3,藤原英昭,芝,左,2400m,晴,良
11,2,アットザシーサイド,キングカメハメハ,ルミナスハーバー,牝,3,8,福永祐一,4,浅見秀一,芝,左,2400m,晴,良
12,1,アウェイク,ディープインパクト,オールザウェイベイビー,牝,3,6,吉田豊,13,斎藤誠,芝,左,2400m,晴,良
13,8,ロッテンマイヤー,クロフネ,アーデルハイト,牝,3,8,T.ベリー,7,池添学,芝,左,2400m,晴,良
14,5,ウインファビラス,ステイゴールド,サマーエタニティ,牝,3,4,松岡正海,16,畠山吉宏,芝,左,2400m,晴,良
15,3,アドマイヤリード,ステイゴールド,ベルアリュール2,牝,3,-8,岩田康誠,9,須貝尚介,芝,左,2400m,晴,良
16,1,フロムマイハート,ハーツクライ,マイネエスポワール,牝,3,8,石橋脩,14,宮本博,芝,左,2400m,晴,良
17,4,ゲッカコウ,ロージズインメイ,チューベローズ,牝,3,-4,柴田大知,15,高橋義博,芝,左,2400m,晴,良
18,5,ダンツペンダント,オレハマッテルゼ,ノースプリンセス,牝,3,4,古川吉洋,18,本田優,芝,左,2400m,晴,良
1,2,マカヒキ,ディープインパクト,ウィキウィキ,牡,3,4,川田将雅,3,友道康夫,芝,左,2400m,晴,良
2,4,サトノダイヤモンド,ディープインパクト,マルペンサ,牡,3,-4,C.ルメール,2,池江泰寿,芝,左,2400m,晴,良
3,1,ディーマジェスティ,ディープインパクト,エルメスティアラ,牡,3,-4,蛯名正義,1,二ノ宮敬宇,芝,左,2400m,晴,良
4,3,エアスピネル,キングカメハメハ,エアメサイア,牡,3,-4,武豊,7,笹田和秀,芝,左,2400m,晴,良
5,6,リオンディーズ,キングカメハメハ,シーザリオ,牡,3,-4,M.デムーロ,4,角居勝彦,芝,左,2400m,晴,良
6,5,スマートオーディン,ダノンシャンティ,レディアップステージ,牡,3,-2,戸崎圭太,5,松田国英,芝,左,2400m,晴,良
7,5,マウントロブソン,ディープインパクト,ミスパスカリ,牡,3,-4,T.ベリー,10,堀宣行,芝,左,2400m,晴,良
8,2,レインボーライン,ステイゴールド,レーゲンボーゲン,牡,3,2,福永祐一,12,浅見秀一,芝,左,2400m,晴,良
9,7,レッドエルディスト,ゼンノロブロイ,ショウダウン,牡,3,4,四位洋文,8,笹田和秀,芝,左,2400m,晴,良
10,8,プロディガルサン,ディープインパクト,ラヴズオンリーミー,牡,3,-8,田辺裕信,11,国枝栄,芝,左,2400m,晴,良
11,4,ロードクエスト,マツリダゴッホ,マツリダワルツ,牡,3,4,岩田康誠,9,小島茂之,芝,左,2400m,晴,良
12,6,アジュールローズ,ヴィクトワールピサ,ヴィアンローズ,牡,3,-2,H.ボウマン,13,古賀慎明,芝,左,2400m,晴,良
13,7,ヴァンキッシュラン,ディープインパクト,リリーオブザヴァレー,牡,3,6,内田博幸,6,角居勝彦,芝,左,2400m,晴,良
14,3,アグネスフォルテ,ハービンジャー,アグネスリース,牡,3,-8,松山弘平,16,長浜博之,芝,左,2400m,晴,良
15,7,イモータル,マンハッタンカフェ,ショアー,牡,3,-2,石川裕紀人,15,須貝尚介,芝,左,2400m,晴,良
16,1,マイネルハニー,マツリダゴッホ,ブライアンハニー,牡,3,0,柴田大知,14,栗田博憲,芝,左,2400m,晴,良
17,8,プロフェット,ハービンジャー,ジュモー,牡,3,-4,浜中俊,18,池江泰寿,芝,左,2400m,晴,良
18,8,ブレイブスマッシュ,トーセンファントム,トーセンスマッシュ,牡,3,-2,横山典弘,17,小笠倫弘,芝,左,2400m,晴,良
1,5,ロゴタイプ,ローエングリン,ステレオタイプ,牡,6,-2,田辺裕信,8,田中剛,芝,左,1600m,晴,良
2,6,モーリス,スクリーンヒーロー,メジロフランシス,牡,5,-4,T.ベリー,1,堀宣行,芝,左,1600m,晴,良
3,7,フィエロ,ディープインパクト,ルビー,牡,7,-8,内田博幸,6,藤原英昭,芝,左,1600m,晴,良
4,6,サトノアラジン,ディープインパクト,マジックストーム,牡,5,0,川田将雅,3,池江泰寿,芝,左,1600m,晴,良
5,7,イスラボニータ,フジキセキ,イスラコジーン,牡,5,0,蛯名正義,4,栗田博憲,芝,左,1600m,晴,良
6,4,ディサイファ,ディープインパクト,ミズナ,牡,7,-6,武豊,7,小島太,芝,左,1600m,晴,良
7,2,ダノンシャーク,ディープインパクト,カーラパワー,牡,8,-4,岩田康誠,11,大久保龍志,芝,左,1600m,晴,良
8,1,クラレント,ダンスインザダーク,エリモピクシー,牡,7,-8,小牧太,10,橋口慎介,芝,左,1600m,晴,良
9,3,ロサギガンティア,フジキセキ,ターフローズ,牡,5,6,M.デムーロ,5,藤沢和雄,芝,左,1600m,晴,良
10,8,レッドアリオン,アグネスタキオン,エリモピクシー,牡,6,-6,川須栄彦,12,橋口慎介,芝,左,1600m,晴,良
11,8,リアルスティール,ディープインパクト,ラヴズオンリーミー,牡,4,0,福永祐一,2,矢作芳人,芝,左,1600m,晴,良
12,5,コンテントメント,-,-,せん,6,-21,B.プレブル,9,J.サイズ,芝,左,1600m,晴,良
1,8,マリアライト,ディープインパクト,クリソプレーズ,牝,5,0,蛯名正義,8,久保田貴士,芝,右,2200m,晴,稍重
2,5,ドゥラメンテ,キングカメハメハ,アドマイヤグルーヴ,牡,4,0,M.デムーロ,1,堀宣行,芝,右,2200m,晴,稍重
3,2,キタサンブラック,ブラックタイド,シュガーハート,牡,4,12,武豊,2,清水久詞,芝,右,2200m,晴,稍重
4,4,ラブリーデイ,キングカメハメハ,ポップコーンジャズ,牡,6,-4,C.ルメール,4,池江泰寿,芝,右,2200m,晴,稍重
5,4,ステファノス,ディープインパクト,ココシュニック,牡,5,-2,戸崎圭太,7,藤原英昭,芝,右,2200m,晴,稍重
6,8,サトノクラウン,Marju,ジョコンダ2,牡,4,3,岩田康誠,9,堀宣行,芝,右,2200m,晴,稍重
7,3,ラストインパクト,ディープインパクト,スペリオルパール,牡,6,0,川田将雅,11,角居勝彦,芝,右,2200m,晴,稍重
8,6,サトノノブレス,ディープインパクト,クライウィズジョイ,牡,6,-8,和田竜二,10,池江泰寿,芝,右,2200m,晴,稍重
9,3,シュヴァルグラン,ハーツクライ,ハルーワスウィート,牡,4,0,福永祐一,5,友道康夫,芝,右,2200m,晴,稍重
10,7,ヒットザターゲット,キングカメハメハ,ラティール,牡,8,0,小牧太,17,加藤敬二,芝,右,2200m,晴,稍重
11,5,カレンミロティック,ハーツクライ,スターミー,せん,8,0,T.ベリー,14,平田修,芝,右,2200m,晴,稍重
12,7,タッチングスピーチ,ディープインパクト,リッスン,牝,4,2,浜中俊,16,石坂正,芝,右,2200m,晴,稍重
13,8,ヤマカツエース,キングカメハメハ,ヤマカツマリリン,牡,4,-4,池添謙一,15,池添兼雄,芝,右,2200m,晴,稍重
14,2,ワンアンドオンリー,ハーツクライ,ヴァーチュ,牡,5,0,田辺裕信,13,橋口慎介,芝,右,2200m,晴,稍重
